Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Colton Cowser","BAL",47,156,6,16,23,3,0.115384615,0.288461538,0.21641791,0.329411764,0.253731343,0.346153846,0.470149253,0.35381200582750383,0.378,132.29074998314582,0.4603701625019312,6.294252995889534,4.243512868881226,1.621066374134829,"Colton Cowser",29591,681297
"Wilyer Abreu","BOS",45,160,5,22,20,7,0.1125,0.26875,0.205673758,0.351063829,0.269503546,0.35,0.475177304,0.3597055420279503,0.311,127.97113516487005,1.8250597855076194,7.008105588419643,1.6881752014160156,1.4428506010743625,"Wilyer Abreu",23772,677800
"Joey Ortiz","MIL",44,142,5,16,16,1,0.126760563,0.16197183,0.218487395,0.301075268,0.277310924,0.375886524,0.495798319,0.37855054765728346,0.338,146.9649659830655,-0.21829195180907845,7.499322361558581,0.5700301509350538,1.338579423201562,"Joey Ortiz",25493,687401
"Masyn Winn","STL",44,157,2,16,14,7,0.082802547,0.171974522,0.136690648,0.345132743,0.294964028,0.348387096,0.431654676,0.3380783355081236,0.302,121.95991858673145,0.7996083609759808,4.789408054062784,-0.5413925647735596,0.9935420482911953,"Masyn Winn",27479,691026
"Jackson Merrill","SDP",50,179,3,20,20,7,0.061452513,0.162011173,0.090361445,0.325925925,0.28313253,0.325842696,0.373493975,0.3084057559401302,0.334,104.64555351892282,0.9629694619216025,1.925271073637674,0.6324805989861488,0.8948895577870168,"Jackson Merrill",29490,701538
"Davis Schneider","TOR",43,148,5,20,20,3,0.114864864,0.27027027,0.196850393,0.313253012,0.244094488,0.344594594,0.440944881,0.34677903193074305,0.342,126.60811535252995,-0.21514283679425716,4.345549777370598,-0.7336127683520317,0.8733467496084141,"Davis Schneider",23565,676914
"Michael Busch","CHC",48,177,7,26,20,1,0.107344632,0.355932203,0.202614379,0.337209302,0.235294117,0.322033898,0.437908496,0.3321084322902442,0.322,116.49133079668839,0.03393449494615197,3.411857016431943,-1.0225977897644043,0.870328686852354,"Michael Busch",26319,683737
"Jacob Young","WSN",40,138,0,23,11,15,0.050724637,0.188405797,0.05691057,0.336734693,0.268292682,0.325925925,0.325203252,0.2947206108658402,0.303,89.61056362298808,2.7813842413015664,1.1222107942719248,2.4829933047294617,0.8599074154265356,"Jacob Young",29931,696285
"Wenceel Pérez","DET",33,122,3,17,14,4,0.098360655,0.221311475,0.192660551,0.35,0.284403669,0.352459016,0.47706422,0.3598437446062682,0.319,133.85712789522194,0.1037600189447403,4.887470824610957,-1.3970402479171753,0.7733157967494357,"Wenceel Perez",22857,672761
"Iván Herrera","STL",34,114,3,14,15,0,0.087719298,0.210526315,0.1,0.333333333,0.28,0.350877192,0.38,0.3268991269563374,0.374,114.33288536741183,0.07887270487844944,1.9697319149348256,0.5061832666397095,0.6580798363147774,"Ivan Herrera",20599,671056
"Michael Siani","STL",44,99,1,13,6,5,0.07070707,0.212121212,0.070588236,0.285714285,0.223529411,0.29032258,0.294117647,0.26651766671929306,0.269,73.13753590008471,0.37071536108851433,-2.7068108265654978,5.306718826293945,0.6183020280805572,"Michael Siani",22557,672279
"Austin Wells","NYY",31,101,1,10,4,1,0.128712871,0.138613861,0.093023256,0.232876712,0.209302325,0.306930693,0.302325581,0.2785232952325651,0.36,80.73076539642857,0.010201408644206822,-2.2437305956830262,4.034408301115036,0.5258275849861427,"Austin Wells",27562,669224
"Korey Lee","CHW",36,110,4,10,11,3,0.054545454,0.245454545,0.14423077,0.342465753,0.278846153,0.318181818,0.423076923,0.32621753432533956,0.31,110.23549011067904,-0.48120944388210773,0.8227266298780551,-0.2523588538169861,0.4290677331077166,"Korey Lee",25543,686676
"Andy Pages","LAD",34,140,5,19,16,1,0.028571428,0.292857142,0.161538462,0.298850574,0.238461538,0.271428571,0.4,0.2913247785397938,0.299,90.10481103161617,-0.6240207371301949,-2.2271658760878204,1.4326385855674744,0.40901298807069714,"Andy Pages",24816,681624
"Jung Hoo Lee","SFG",37,158,2,15,8,2,0.063291139,0.082278481,0.068965517,0.272727272,0.262068965,0.310126582,0.331034482,0.2872672944883757,0.324,88.73183056437527,-0.088800807017833,-2.1491041639000295,-0.15370053052902222,0.31525267124779044,"Jung Hoo Lee",33824,808982
"Trey Lipscomb","WSN",33,122,1,16,9,10,0.090163934,0.163934426,0.037383178,0.298850574,0.252336448,0.330578512,0.289719626,0.2866474759480185,0.29,84.10265419299203,0.480408756993711,-1.7640165993082744,-0.20665591955184937,0.22338179315523007,"Trey Lipscomb",31567,702358
"Oliver Dunn","MIL",33,90,1,10,6,2,0.055555555,0.388888888,0.107142857,0.375,0.226190476,0.277777777,0.333333333,0.27222999930381775,0.256,74.42759892065433,0.5828927326947451,-2.0804970614721543,0.9491416066884995,0.1983468699531788,"Oliver Dunn",26295,686554
"Jackson Chourio","MIL",46,164,5,20,15,7,0.060975609,0.274390243,0.118421053,0.262135922,0.210526315,0.257668711,0.328947368,0.26086879873568297,0.276,66.67640135214026,1.6362456427887082,-4.68811252930268,0.9145083427429199,0.18324674435838093,"Jackson Chourio",28806,694192
"Brayan Rocchio","CLE",44,161,0,22,8,7,0.118012422,0.167701863,0.065217392,0.24778761,0.20289855,0.3,0.268115942,0.26403363719582557,0.292,70.89767635710345,-0.2678266600705683,-5.694185556312537,2.046125888824463,0.16142729261866695,"Brayan Rocchio",23690,677587
"Max Schuemann","OAK",34,100,2,11,9,3,0.09,0.21,0.113636363,0.303030303,0.25,0.33,0.363636363,0.3117978012561798,0.339,105.94731044622878,-0.5009676334448159,0.18780452098438927,-1.931267261505127,0.1546375044839891,"Max Schuemann",24488,680474
"Evan Carter","TEX",43,157,5,23,15,2,0.095541401,0.261146496,0.179856115,0.234042553,0.194244604,0.280254777,0.374100719,0.29028374526151424,0.289,84.3467005103459,1.1747008985839784,-1.6714670205288575,-2.423982620239258,0.10141967558447071,"Evan Carter",27790,694497
"Colt Keith","DET",44,158,1,13,16,3,0.075949367,0.170886075,0.055555555,0.282051282,0.236111111,0.297468354,0.291666666,0.2656620896545945,0.314,69.65097632718683,-0.03446599468588829,-5.587838215982739,0.9426977038383484,0.04756945441200526,"Colt Keith",27899,690993
"Lawrence Butler","OAK",41,121,2,8,7,3,0.123966942,0.297520661,0.094339622,0.25,0.179245283,0.280991735,0.273584905,0.25802623782276124,0.319,69.28979839010908,-0.10090685822069645,-4.404418776695931,0.9310512542724609,0.045171030740064705,"Lawrence Butler",22542,671732
"Parker Meadows","DET",32,85,2,9,3,3,0.129411764,0.376470588,0.123287672,0.128205128,0.09589041,0.223529411,0.219178082,0.21263198431800392,0.231,33.49893607415565,0.6479621431790292,-5.898437151635042,2.575182795524597,-0.06019958074907957,"Parker Meadows",23800,678009
"Blaze Alexander","ARI",35,107,3,13,16,1,0.102803738,0.233644859,0.145833334,0.323529411,0.260416666,0.336448598,0.40625,0.33046136559727035,0.295,114.1569575322732,-0.28259159065783024,1.4703781579604764,-5.948294222354889,-0.09025196330427657,"Blaze Alexander",23789,677942
"Curtis Mead","TBR",26,94,1,7,5,2,0.042553191,0.244680851,0.057471264,0.285714285,0.218390804,0.268817204,0.275862068,0.24826297324190857,0.251,62.57280342372972,0.3338216757401824,-3.740638938005614,-1.131125420331955,-0.19111810548563454,"Curtis Mead",23986,678554
"Austin Martin","MIN",30,83,1,19,6,4,0.084337349,0.192771084,0.131578947,0.27118644,0.22368421,0.289156626,0.355263157,0.2872129915708519,0.305,85.89908660674234,0.5352155789732933,-0.8202244582733664,-4.343212783336639,-0.25844552533804677,"Austin Martin",27462,668885
"Nolan Schanuel","LAA",46,186,5,16,18,0,0.080645161,0.161290322,0.109090909,0.257575757,0.236363636,0.304347826,0.345454545,0.29168913124696066,0.298,85.79383137722336,-1.5012613609433174,-4.561426628915877,-4.0912317633628845,-0.27542162691593863,"Nolan Schanuel",33189,694384
"Wyatt Langford","TEX",31,129,1,13,11,1,0.085271317,0.224806201,0.068965517,0.287356321,0.224137931,0.294573643,0.293103448,0.264509417116642,0.306,66.77565209032096,-0.923999696969986,-5.887649670523683,-2.0255874395370483,-0.39003770776898894,"Wyatt Langford",33333,694671
"Jordan Beck","COL",22,81,2,4,8,2,0.012345679,0.37037037,0.126582279,0.270833333,0.189873417,0.197530864,0.316455696,0.21569810286164284,0.261,20.88838636098822,0.5224295617081225,-6.89316498262902,-1.357706606388092,-0.5742535933383974,"Jordan Beck",31431,687597
"Ceddanne Rafaela","BOS",50,183,5,23,26,6,0.032786885,0.25136612,0.157894736,0.227642276,0.192982456,0.220994475,0.350877192,0.2469945530206459,0.254,51.13304129935637,0.4406063542701304,-9.916093087266232,-2.036999225616455,-0.6290097111074535,"Ceddanne Rafaela",24262,678882